id;cname;cpath;clogourl;title;path;tags;detailtags;ctype;cindustry;csize;jexperience;jtype;jsubtype;jlocation;jcontract;jremote;jsalary
151;MOBIBAM;/company/mobibam-3286;https://api.azertyjobs.com/companies/3286/logo_24a8860f6dcc780a3b4f79a5df19f879.jpg;Business Developer @Station F;/job/business-developer-atstation-f-mobibam-stage-paris;"[""STAGE"", ""Business Development / Sales""]";"[""55 boulevard Vincent Auriol 75013 Paris"", ""7 employÌ©s""]";startup;autres;10-19 employés;0;Bizdev / sales;tbd;Paris;stage;non;18000;
140;Mon Voisin Le Brasseur;/company/mon-voisin-le-brasseur-3291;https://api.azertyjobs.com/companies/3291/logo.png?QEvlc;Chief Operations Officer;/job/associe-chief-operations-officer-mon-voisin-le-brasseur-cdi-mumbai;"[""ASSOCIE"", ""Business Development / Sales""]";"[""Place de l'hotel de Ville 75001 Paris""]";startup;food;20-49 employés;5;Bizdev / sales;tbd;Paris;cdi;non;45000;
155;NETATMO;/company/netatmo-3259;https://api.azertyjobs.com/companies/3259/logo_861b6ca18c3bf635214b6ce2c0b56928.jpg;Chef de produit Lancement nouveau produit;/job/stage-chef-de-produit-lancement-nouveau-produit-netatmo-boulogne-billancourt;"[""STAGE"", ""IT & Dev""]";"[""93 rue Nationale 92100 Boulogne-Billancourt""]";startup;autres;50-200 employés;0;IT & dev;tbd;Boulogne-Billancourt;stage;non;15000;
153;Ornikar;/company/ornikar-334;https://api.azertyjobs.com/companies/334/logo.png?8u0Q0;Customer Support Hero;/job/customer-support-hero-stage-ornikar-stage-paris;"[""STAGE"", ""Support""]";"[""34 boulevard de Sebastopol 75004 Paris""]";startup;mobilité;20-49 employés;0;Autre;tbd;Paris;stage;non;15000;
129;OuiFlash;/company/ouiflash-466;https://api.azertyjobs.com/companies/466/logo.png;DÌ©veloppeur PHP;/job/developpeur-php-ouiflash-cdi-paris;"[""CDI"", ""IT & Dev""]";"[""17 Rue de Turbigo 75002 Paris""]";startup;mobilité;10-19 employés;2;IT & dev;tbd;Paris;cdi;oui;42000;
134;OuiFlash;/company/ouiflash-466;https://api.azertyjobs.com/companies/466/logo.png;Business Developer cycle court [CDD-CDI] H/F;/job/cdd-cdi-business-developer-cycle-court-hf-ouiflash-cdi-paris;"[""CDI"", ""Business Development / Sales""]";"[""17 Rue de Turbigo 75002 Paris""]";startup;mobilité;10-19 employés;2;Bizdev / sales;tbd;Paris;cdi;non;39000;
182;Paydone.;/company/paydone-3267;https://api.azertyjobs.com/companies/3267/logo.png?IHQqu;Développeur Mobile;/job/developpeur-mobile-associe-paydone-stage-paris;"[""ASSOCIE"", ""IT & Dev""]";"[""33 rue Lamarck 75018 PARIS"", ""3 employÌ©s"", ""27 ans""]";startup;finance;< 10 employés;3;IT & dev;tbd;Paris;cdi;non;37000;
175;Sloft magazine;/company/sloft-magazine-382;https://api.azertyjobs.com/companies/382/logo.jpg?zZCiG;Editeur Junior;/job/editeur-junior-du-web-magazine-sloft-magazine-sloft-magazine-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""28 Rue du Chemin Vert 75011 Paris"", ""4 employÌ©s"", ""25 ans"", ""1 M dÌ_Ì_åÈÌ_åäÌ´ levÌ©s"", ""50% d'hommes"", ""50% de femmes""]";agence;autres;20-49 employés;0;Marketing & communication;communication;Paris;stage;non;18000;
143;Startup Sesame;/company/startup-sesame-296;https://api.azertyjobs.com/companies/296/logo.png;Startup Champion;/job/startup-champion-startup-sesame-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""17, Rue Ganneron 75018 Paris""]";agence;autres;20-49 employés;0;Marketing & communication;stratégie;Paris;stage;non;18000;
147;Tediber;/company/tediber-537;https://api.azertyjobs.com/companies/537/logo.png;Bras Droit - Business Developper;/job/bras-droit-business-developper-stage-tediber-stage-paris;"[""STAGE"", ""Business Development / Sales""]";"[""1 Bis CitÌ© Paradis 75010 Paris"", ""16 employÌ©s""]";startup;retail;20-49 employés;0;Bizdev / sales;tbd;Paris;stage;non;18000;
159;TEEMO;/company/teemo-1660;https://api.azertyjobs.com/companies/1660/logo.png?VpHcW;Chief Happiness Officer;/job/chief-happiness-officer-hf-databerries-cdi-paris;"[""CDI"", ""Autre""]";"[""39 rue Godot de Mauroy 75009 Paris""]";startup;tech;20-49 employés;2;Autre;tbd;Paris;cdi;non;36000;
183;ThingType;/company/thingtype-639;https://api.azertyjobs.com/companies/639/logo.png;DÌ©veloppeur Front End;/job/developpeur-front-end-thingtype-stage-paris-1;"[""STAGE"", ""IT & Dev""]";"[""Rue Dareau 75014 Paris""]";startup;autres;20-49 employés;0;IT & dev;tbd;Paris;stage;non;15000;
124;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Product Manager (H/F) ;/job/product-manager-hf-wayzup-cdi-paris;"[""CDI"", ""Design & UX-UI""]";"[""130 rue de Lourmel 75015 Paris"", ""12 employÌ©s""]";startup;mobilité;10-19 employés;2;Marketing & communication;produit;Paris;cdi;non;37000;
125;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Bras droit Marketing & StratÌ©gie;/job/bras-droit-marketing-strategie-wayzup-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""130 rue de Lourmel 75015 Paris"", ""12 employÌ©s""]";startup;mobilité;10-19 employés;0;Marketing & communication;stratégie;Paris;stage;non;15000;
135;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Responsable Customer Happiness;/job/responsable-customer-happiness-wayzup-cdi-paris;"[""CDI"", ""Support""]";"[""130 rue de Lourmel 75015 Paris"", ""12 employÌ©s""]";startup;mobilité;10-19 employés;3;Autre;tbd;Paris;cdi;non;38000;
136;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Bras Droit Marketing & StratÌ©gie;/job/bras-droit-marketing-strategie-wayzup-cdi-paris;"[""CDI"", ""Marketing / Communication""]";"[""130 rue de Lourmel 75015 Paris"", ""12 employÌ©s""]";startup;mobilité;10-19 employés;1;Marketing & communication;stratégie;Paris;cdi;non;38000;
137;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Business Developer grands comptes;/job/business-developer-grands-comptes-wayzup-cdi-paris-1;"[""CDI"", ""Business Development / Sales""]";"[""130 rue de Lourmel 75015 Paris"", ""12 employÌ©s""]";startup;mobilité;10-19 employés;4;Bizdev / sales;tbd;Paris;cdi;non;41000;
139;WHOOMIES;/company/whoomies-3292;https://api.azertyjobs.com/companies/3292/logo.png?1WUmd;Communication & Growth Hacking;/job/communication-growth-hacking-whoomies-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""Dauphine, Place du MarÌ©chal de Lattre de Tassigny 75016 Paris"", ""5 employÌ©s"", ""25 ans"", ""1 M dÌ_Ì_åÈÌ_åäÌ´ levÌ©s"", ""30% d'hommes"", ""70% de femmes""]";startup;autres;< 10 employés;2;Marketing & communication;communication;Paris;cdi;non;37000;
177;WITY;/company/wity-3270;https://api.azertyjobs.com/companies/3270/logo_86096ea0a186f4e3ab1371ce970b5d2e.png;Business Developer;/job/business-developer-wity-cdi-neuilly-sur-seine;"[""CDI"", ""Business Development / Sales""]";"[""20-26 boulevard du parc 92200 Neuilly Sur Seine""]";startup;services b2b;< 10 employés;2;Bizdev / sales;tbd;Neuilly Sur Seine;cdi;non;42000;
176;WITY;/company/wity-3270;https://api.azertyjobs.com/companies/3270/logo_86096ea0a186f4e3ab1371ce970b5d2e.png;Lead Developer Web PHP / Symfony 2-3;/job/lead-developer-web-php-symfony-2-3-wity-cdi-neuilly-sur-seine;"[""CDI"", ""IT & Dev""]";"[""20-26 boulevard du parc 92200 Neuilly Sur Seine""]";startup;services b2b;< 10 employés;2;IT & dev;tbd;Neuilly-sur-Seine;cdi;non;37000;
127;Younited Credit;/company/younited-credit-1161;https://api.azertyjobs.com/companies/1161/logo.png;Analyste CrÌ©dit (H/F);/job/analyste-credit-hf-cdi-younited-credit-cdi-paris;"[""CDI"", ""Autre""]";"[""Rue Drouot 75009 Paris""]";startup;finance;20-49 employés;1;Autre;tbd;Paris;cdi;non;34000;
130;Younited Credit;/company/younited-credit-1161;https://api.azertyjobs.com/companies/1161/logo.png;Data Scientist Junior (H/F);/job/data-scientist-junior-hf-stage-younited-credit-stage-paris;"[""STAGE"", ""Autre""]";"[""Rue Drouot 75009 Paris""]";startup;finance;20-49 employés;0;Autre;tbd;Paris;stage;non;20000;
